Funds,Focus Area,Strategic Outcome,Funding Stream,Agency Andar #,Agency Name,Program Andar #,Program Name,2015-16 Allocation,Grant Start Date,Grant End Date,Short Program Description,Planner,Target Population,Early Childhood,Middle Years,Families,Seniors,Parents/Caregivers,Youth,Immigrants/Refugees,Women,Aboriginal/First Nations,Other,Program Elements,Learning Support ,Science/technology/engineering/math/numeracy ,Language/literacy/reading,"Tutoring, homework clubs",Other,Social and Emotional Health ,Mental wellness,Caregiver/parental support,Self determination/confidence,Pro-social behaviour,Independence,Other,Connections/Healthy Relationships,Intergenerational relationships,Mentoring,Peer relationships,Social connectedness,Interpersonal communication,Parent-child bonding,Cross-cultural relationships,Participation in society,Other,Physical Health and Recreational Activities,Indoor play/activities,Outdoor play/activities,Music,Sports,Dance,Arts and crafts,Theatre,Physical safety/injury prevention,Other,Life Skills,Nutrition and cooking,Growing food,Leadership,Teamwork,Food planning and budgeting,Financial education,Other,System Change,Capacity building,Policy work,Research,Advocacy,Networks/collectives,Other,Address Program Barriers/Access,Child-minding,Transportation,Food provision,Outreach,Other,Food Redistribution,Information and Referral,Geographic Focus Area,First Nation Territories,First Nation Territories,Fraser Valley Regional District,Abbotsford,Chilliwack,Mission,Hope,Kent,Harrison Hot Springs,Boston Bar / North Bend,Dogwood Valley / Emory Creek / Choate / Sunshine Valley / Laidlaw / Spuzzum,Lake Errock / Harrison Mills / Hemlock Valley,Popkum / Bridal Falls,Slesse Park / Baker Trails / Bell Acres,Miracle Valley / Hatzic Prairie,Other,Metro Vancouver Regional District,Anmore,Belcarra,Bowen Island,Burnaby,Coquitlam,Delta,"Langley, City of","Langley, District Municipality",Lions Bay,Maple Ridge,New Westminster,"North Vancouver, City of","North Vancouver, District Municipality",Pitt Meadows,Port Coquitlam,Port Moody,Richmond,Surrey,Tsawwassen First Nation,Vancouver,West Vancouver,White Rock,Barnston Islands / Buntzen Bay / Gambier Island Trust Area / Granite Falls / Strachan Creen / University Endowment Lands (UBC),Squamish-Lillooet Regional District,Lillooet,Squamish,Pemberton,Whistler,Sunshine Coast Regional District,Elphinstone,Gibsons,Halfmoon Bay,Pender Harbour / Egmont / Madeira Park,Roberts Creek,Sechelt District Municipality,Sechelt Indian Government District (Part-Sunshine Coast),"West Howe Sound (Langdale, Port Mellon, Williamson?s Landing, Granthams Landing, Soames, Hopkins Landing, and Gambier and Keats Islands)",Other Areas,Other Areas,Donor Engagement,UW Speaker,Day of Caring,Volunteer Opps,Agency Tour,Agency Fair,Impact Story,Other,Outputs,Total Clients,Early Years (0-6yrs),Middle Years (6-12),Children (0-12yrs),Seniors,Parents/Caregivers,Families,Contacts/Services,Meals/Snacks,Counselling Sessions,Mentors/Tutors,Workshops,Volunteers
UWLM,,,placerat,3441,turpis adipiscing lorem,7741,ultrices libero non mattis,8339,2016-10-20,2017-02-21,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,Kevin Jones,Target Population,1,1,1,1,0,0,1,1,1,0,Program Element,300,1,0,0,1,200,1,0,0,1,0,0,200,1,0,0,0,0,1,1,0,1,100,1,1,1,0,1,0,1,1,0,200,1,0,0,1,0,0,1,100,0,0,1,1,1,1,300,0,0,0,0,1,300,100,Geographic Focus Area,100,1,100,25,17,90,72,17,86,36,,,,49,,300,7,54,41,2,63,94,62,53,15,31,43,5,39,72,64,46,96,19,67,32,58,4,54,89,100,79,3,78,93,100,81,4,30,66,88,7,99,90,100,52,Donor Engagement,1,1,0,1,0,0,1,Outputs,274,24,18,41,97,88,71,3261,5317,342,9476,1393,9785
UWLM,,,nascetur,4102,a,7831,amet eros,808,2016-04-15,2016-09-18,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,Carol Patterson,Target Population,1,0,0,0,0,0,1,1,1,0,Program Element,300,0,1,0,1,100,0,0,0,0,0,0,300,1,1,0,1,0,0,0,0,0,200,1,0,0,1,1,1,1,1,1,200,0,0,1,0,1,1,1,100,1,0,0,1,0,0,300,1,0,1,1,0,200,100,Geographic Focus Area,100,39,100,37,49,29,37,45,2,34,,,,48,,200,43,60,94,5,25,40,13,92,55,15,92,2,98,46,75,77,68,27,77,77,55,76,43,91,300,92,77,26,52,300,74,21,43,65,38,19,23,26,200,58,Donor Engagement,1,0,1,0,1,1,0,Outputs,86,99,43,4,2,6,53,5112,1457,8161,932,9347,6608
UWLM,,,faucibus,7402,venenatis turpis enim,4338,ut odio,7268,2016-06-30,2016-11-21,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,Irene Gibson,Target Population,1,1,1,0,1,1,0,0,0,0,Program Element,300,1,0,1,1,300,1,1,1,1,1,1,300,1,1,1,0,0,0,1,0,0,100,0,1,1,1,1,0,1,1,1,200,1,1,1,0,0,1,1,100,0,1,0,0,0,0,300,1,0,1,1,1,200,100,Geographic Focus Area,200,19,300,78,76,72,30,47,72,70,,,,20,,200,22,83,85,78,71,34,54,66,94,9,89,98,92,59,72,2,3,91,13,68,69,100,59,22,300,30,16,63,50,200,43,97,18,88,15,82,9,72,100,50,Donor Engagement,0,1,0,0,1,0,0,Outputs,91,11,67,85,89,65,42,4924,4935,9212,7012,2537,4137
GOV,,,in,6493,nibh,8709,eget elit sodales scelerisque,9802,2016-12-09,2016-08-25,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,Michael Davis,Target Population,0,0,0,1,1,1,1,1,0,1,Program Element,200,0,1,1,0,200,1,1,1,1,1,0,200,0,1,1,1,0,1,0,1,0,100,1,1,1,1,1,0,1,0,1,300,1,0,0,1,0,1,1,100,1,0,0,0,1,1,300,0,0,0,1,0,100,200,Geographic Focus Area,100,61,200,59,2,87,43,14,15,37,,,,38,,200,23,79,72,75,25,67,34,58,87,46,17,66,2,54,44,54,33,81,98,8,43,88,60,58,300,56,39,13,26,100,44,86,60,54,73,88,76,23,100,71,Donor Engagement,0,0,0,0,1,0,0,Outputs,397,29,54,45,63,41,21,6930,9945,6353,6315,7575,7011
UWLM,,,rhoncus,5623,dapibus nulla suscipit,2374,dictumst,6372,2016-07-13,2017-02-22,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,Janice Bell,Target Population,0,1,0,1,1,0,0,0,1,0,Program Element,200,1,0,1,0,200,1,1,1,0,0,1,300,0,1,1,1,1,1,1,1,1,100,0,1,0,1,0,1,0,1,1,300,0,0,0,1,0,1,0,200,0,0,0,0,0,1,200,0,0,1,1,1,300,100,Geographic Focus Area,300,78,200,98,69,81,82,14,33,15,,,,21,,200,15,28,54,14,89,27,54,61,26,31,11,4,26,20,24,36,84,48,33,58,68,47,60,20,100,55,10,66,14,200,84,19,27,74,55,47,70,98,200,13,Donor Engagement,0,0,1,0,1,0,1,Outputs,995,33,15,97,82,76,73,3276,4090,2281,6082,2052,6533
UWLM,,,et,6924,nisi,5728,sit amet lobortis,9382,2016-12-17,2016-08-27,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,Donald Owens,Target Population,1,1,0,1,0,1,0,0,1,1,Program Element,200,0,1,1,0,100,0,1,1,0,0,1,200,1,1,0,0,0,1,1,1,1,200,1,0,0,0,0,0,1,0,0,200,0,0,1,0,1,1,0,300,1,1,0,0,0,1,200,1,1,1,0,0,100,100,Geographic Focus Area,200,98,200,86,11,22,77,67,54,65,,,,91,,300,70,97,64,32,71,34,43,96,39,20,46,93,4,19,22,64,79,6,88,81,61,34,35,7,200,34,83,84,28,300,96,32,15,56,28,66,63,3,200,19,Donor Engagement,1,0,0,0,1,1,1,Outputs,246,89,47,79,84,26,95,2009,8592,9405,3509,2946,1245
UWLM,,,augue,7942,id justo sit amet,5353,cursus urna ut,2621,2016-06-12,2016-03-21,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,Marie Castillo,Target Population,0,0,0,0,0,0,0,0,0,1,Program Element,300,0,1,0,0,300,1,0,0,0,0,1,200,0,0,1,1,0,1,0,1,1,200,1,1,0,1,0,0,1,1,0,300,1,1,0,0,0,1,1,100,0,0,1,0,1,0,100,1,1,1,0,0,200,100,Geographic Focus Area,200,13,100,13,88,83,23,3,36,28,,,,98,,300,9,91,89,30,25,11,56,84,30,32,16,81,7,36,76,43,90,7,25,77,4,57,83,61,200,56,54,7,84,200,75,93,73,42,68,30,56,46,200,98,Donor Engagement,1,0,1,1,1,0,0,Outputs,329,28,57,40,27,2,85,4231,1229,7142,2723,7743,9929
GOV,,,sit,9312,adipiscing,6928,magnis dis,8106,2017-01-19,2016-03-12,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,Norma Dixon,Target Population,1,1,1,1,0,0,1,1,1,0,Program Element,300,0,0,1,0,100,1,0,0,1,0,0,200,1,1,0,0,1,0,1,0,0,100,1,1,0,1,1,1,1,1,0,200,1,1,0,0,1,1,1,300,1,1,0,1,0,1,100,1,1,0,0,1,100,100,Geographic Focus Area,100,1,100,91,28,84,34,87,25,62,,,,95,,100,57,98,33,51,98,22,99,15,81,50,50,53,63,9,24,57,37,43,45,39,31,9,84,45,200,35,60,8,7,200,14,54,67,23,69,79,49,60,100,6,Donor Engagement,1,1,0,1,1,0,0,Outputs,122,31,23,41,40,51,72,2373,7619,7852,2637,4550,9899
UWLM,,,quis,7583,integer pede justo lacinia,6861,lacus curabitur,4674,2016-04-06,2016-12-29,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,Maria Martin,Target Population,0,0,0,0,0,0,0,0,1,0,Program Element,200,1,0,1,1,200,0,0,0,1,0,0,300,1,0,1,1,1,0,0,0,1,200,1,1,0,0,0,0,0,0,0,100,1,1,0,1,1,0,0,300,1,0,0,1,0,0,200,0,1,1,0,1,200,200,Geographic Focus Area,100,36,200,40,31,73,61,17,85,3,,,,25,,100,64,17,64,44,96,21,74,49,29,7,21,43,68,95,73,16,82,31,49,90,82,14,28,67,100,83,80,87,38,200,35,73,66,30,98,31,59,69,300,49,Donor Engagement,0,0,0,0,1,1,1,Outputs,706,35,83,45,94,78,66,7803,2785,6718,2270,223,7953
UWLM,,,feugiat,4203,pede libero,5027,at nibh,7551,2016-07-15,2017-03-05,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,Angela Matthews,Target Population,1,1,0,0,1,1,0,0,0,0,Program Element,100,0,0,0,1,100,0,0,0,0,1,1,100,1,1,0,0,1,1,1,0,0,100,1,1,0,0,1,0,0,0,1,100,0,0,1,0,0,1,0,300,0,0,0,1,0,1,200,1,1,1,1,1,200,200,Geographic Focus Area,200,8,200,91,52,4,47,94,59,71,,,,79,,200,15,71,97,64,88,12,27,21,82,10,30,38,47,84,84,41,67,48,7,37,53,51,60,14,300,60,45,51,47,300,23,95,28,60,69,59,99,64,100,8,Donor Engagement,0,0,1,1,0,0,0,Outputs,132,47,79,6,84,45,47,278,1395,7448,8276,3049,7352
GOV,,,convallis,1131,iaculis,8965,justo eu,3776,2016-07-22,2016-07-25,non mi integer ac neque duis bibendum morbi non quam nec,Adam Ryan,Target Population,1,1,1,0,1,1,1,1,1,1,Program Element,200,1,1,0,1,100,1,1,1,1,0,0,300,0,0,0,0,1,0,1,0,0,200,0,0,0,0,1,0,1,0,0,100,1,1,0,0,1,0,1,300,1,1,0,0,0,1,100,1,1,0,1,1,100,300,Geographic Focus Area,300,79,200,68,92,21,99,95,35,48,,,,67,,200,44,35,40,39,69,98,58,18,88,59,38,17,11,46,22,66,77,44,92,80,4,67,69,62,200,42,24,49,29,200,51,40,42,54,85,47,74,39,200,80,Donor Engagement,1,0,0,0,1,1,1,Outputs,559,68,48,82,84,44,95,3375,6920,7975,8344,3361,7474
UWLM,,,cras,5679,augue,5964,nulla justo aliquam,7267,2016-04-27,2016-09-29,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,Jerry Harper,Target Population,1,1,1,1,1,1,1,1,1,1,Program Element,300,1,1,1,0,300,0,0,0,0,1,1,300,1,0,1,0,1,0,1,0,0,300,0,0,0,1,0,0,1,1,0,300,0,0,0,0,1,0,1,200,0,1,1,1,1,0,200,0,0,1,1,1,200,300,Geographic Focus Area,200,30,100,87,18,4,65,80,31,38,,,,32,,200,70,90,3,52,61,76,90,88,2,61,10,58,70,75,45,49,70,91,46,65,77,36,68,86,200,38,66,53,92,100,81,3,3,47,73,36,54,74,200,72,Donor Engagement,0,0,0,1,1,1,1,Outputs,682,87,72,63,1,63,54,9806,3477,4600,5409,2437,4689
UWLM,,,viverra,8825,eget congue eget semper,2686,nullam porttitor lacus at,735,2016-07-07,2017-03-02,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,Ryan Patterson,Target Population,1,1,0,1,0,1,0,0,1,1,Program Element,200,1,0,0,0,200,0,0,0,1,1,0,300,0,1,0,1,1,1,1,1,0,100,0,1,1,0,1,0,0,1,0,100,0,0,1,0,0,0,1,300,0,1,1,0,1,0,200,0,1,1,0,1,200,100,Geographic Focus Area,200,29,200,29,3,20,3,22,19,45,,,,14,,300,15,46,8,83,96,86,39,91,96,79,31,31,85,21,88,58,93,5,18,62,31,76,19,78,100,32,61,93,87,200,61,90,70,52,64,8,44,76,100,59,Donor Engagement,0,1,0,0,0,1,1,Outputs,244,85,49,13,53,29,8,2905,226,5613,972,4319,6843
GOV,,,potenti,6474,maecenas,234,porttitor lacus,8880,2016-09-20,2016-11-23,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,Ronald Cooper,Target Population,1,0,0,0,0,1,1,1,1,0,Program Element,300,0,1,1,0,300,0,0,0,0,0,1,200,0,1,1,0,1,1,1,1,0,300,0,0,0,1,0,1,1,1,0,200,0,1,1,0,1,0,1,200,0,0,0,0,1,0,300,1,1,0,1,0,300,200,Geographic Focus Area,100,24,100,40,3,22,89,22,50,7,,,,43,,300,71,17,5,1,13,3,11,69,12,54,12,36,90,5,65,94,22,1,46,27,30,53,62,93,100,74,49,25,27,200,37,17,74,35,25,54,93,24,300,83,Donor Engagement,1,1,1,0,0,1,1,Outputs,592,75,96,10,8,11,48,3696,9316,3481,1718,9116,8229
UWLM,,,sed,2596,orci luctus,1554,posuere cubilia,6215,2016-04-24,2016-12-13,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,John Porter,Target Population,1,0,0,0,0,1,0,0,1,1,Program Element,300,1,0,0,1,100,0,0,0,0,0,0,300,0,1,1,1,1,0,0,1,0,100,0,1,1,0,1,0,1,1,1,100,0,0,0,1,1,0,1,200,1,0,1,1,1,0,300,1,1,1,1,0,100,100,Geographic Focus Area,200,19,100,65,84,82,75,96,25,24,,,,56,,200,1,13,78,70,23,63,43,6,16,19,40,26,9,55,19,9,51,12,68,34,45,26,72,7,100,41,79,64,76,100,3,59,40,47,71,44,75,95,300,27,Donor Engagement,1,0,0,0,1,1,0,Outputs,27,58,26,31,16,46,59,4547,3559,8523,1925,426,3338
UWLM,,,ultrices,5725,integer,5713,felis sed lacus,6036,2017-02-16,2017-02-01,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,Evelyn Harvey,Target Population,1,0,1,0,0,1,0,0,1,1,Program Element,200,1,0,1,0,100,1,1,1,0,1,1,300,0,1,0,0,1,0,0,1,0,100,0,1,0,1,0,0,0,1,0,300,0,0,1,0,0,0,0,100,0,1,1,0,0,1,300,0,1,1,1,1,300,300,Geographic Focus Area,100,8,100,33,41,87,96,16,73,16,,,,30,,200,86,2,57,13,65,44,70,9,37,39,40,69,29,15,1,50,86,67,58,76,26,21,41,100,300,80,15,65,59,100,87,56,88,5,46,93,8,92,200,86,Donor Engagement,0,0,0,0,1,1,0,Outputs,72,63,33,25,77,70,28,8415,1583,4527,6189,2071,4424
UWLM,,,proin,3599,sollicitudin mi sit,3425,ipsum,6475,2016-12-12,2016-11-29,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,Jennifer Carr,Target Population,0,0,0,1,0,0,1,1,1,0,Program Element,200,0,1,1,1,100,0,0,0,0,0,0,300,1,0,1,1,0,0,1,0,1,300,0,1,1,1,0,0,0,1,0,300,0,0,0,1,0,0,1,300,0,1,0,0,1,0,300,0,0,1,0,1,300,300,Geographic Focus Area,100,16,300,49,74,63,58,34,79,61,,,,55,,100,98,28,37,57,61,76,36,64,22,17,5,47,23,26,65,26,10,49,38,95,64,70,78,92,200,43,78,59,55,100,93,70,89,75,57,77,46,24,300,8,Donor Engagement,1,0,1,0,0,0,0,Outputs,654,13,95,21,51,48,93,7051,3380,3648,3035,6156,2793
UWLM,,,in,9000,nisi,1417,augue,4621,2016-09-27,2016-09-19,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,Martin Roberts,Target Population,0,1,1,1,1,1,1,1,1,0,Program Element,300,1,0,1,0,300,1,1,1,0,1,0,200,1,1,0,0,0,0,1,0,1,100,1,0,1,1,1,1,0,1,0,300,0,1,1,0,1,0,0,300,1,1,0,1,0,0,200,0,0,1,0,0,200,200,Geographic Focus Area,300,71,300,91,35,97,26,84,37,83,,,,59,,100,35,93,71,93,27,25,64,56,49,87,18,4,45,57,94,57,100,82,42,98,97,71,22,60,100,20,84,63,88,100,35,63,43,16,97,37,37,79,200,51,Donor Engagement,0,0,0,0,0,1,0,Outputs,900,68,18,1,39,5,56,6842,1771,3949,8971,7937,2670
GOV,,,in,7320,orci luctus et,6315,eros viverra,4885,2016-12-19,2016-12-21,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,Kathryn Burns,Target Population,0,0,0,0,0,1,0,0,0,0,Program Element,300,0,1,1,0,100,0,1,1,1,0,1,100,0,0,0,1,0,1,0,0,1,200,1,1,0,0,1,1,0,0,1,200,0,1,0,0,1,0,1,200,1,1,0,1,1,1,200,1,0,1,0,0,100,100,Geographic Focus Area,300,97,100,52,10,59,40,85,9,61,,,,25,,300,71,28,20,8,55,100,53,65,90,56,51,36,48,68,9,35,9,52,84,68,47,37,67,67,100,84,21,1,79,200,65,40,22,25,27,42,18,56,100,96,Donor Engagement,1,0,1,1,1,0,0,Outputs,841,74,57,96,66,75,57,5071,5678,5335,5629,3787,1633
GOV,,,rutrum,5406,eget massa tempor convallis,70,in congue etiam,7128,2016-12-17,2016-06-14,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,David Lewis,Target Population,1,1,0,1,1,0,1,1,1,0,Program Element,100,0,1,0,1,300,0,1,1,0,0,1,100,0,1,1,0,0,1,0,1,1,100,1,1,1,1,0,0,0,1,0,300,1,1,0,0,0,1,0,100,1,1,0,0,1,0,200,1,0,0,0,1,100,300,Geographic Focus Area,200,24,100,63,78,70,35,51,71,54,,,,64,,300,97,13,46,74,81,99,52,26,8,82,60,14,1,29,29,95,56,46,7,80,61,81,55,61,300,78,50,44,54,300,6,74,73,62,50,31,41,93,300,52,Donor Engagement,0,0,1,0,1,0,1,Outputs,572,55,87,64,45,19,48,5975,1880,7673,5969,8240,1869
UWLM,,,scelerisque,6521,turpis integer aliquet,263,velit eu est,7834,2016-08-20,2016-04-25,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,Janet Bishop,Target Population,0,0,1,1,1,0,0,0,0,1,Program Element,100,0,0,0,1,300,1,0,0,1,1,0,200,0,1,1,1,1,0,0,0,1,300,0,0,0,0,1,1,1,1,1,300,0,0,1,0,1,0,0,300,0,1,1,1,0,0,100,1,1,0,0,0,100,100,Geographic Focus Area,100,3,100,65,55,52,99,18,84,46,,,,61,,300,76,15,2,82,32,8,70,71,30,68,42,33,29,36,24,48,3,82,16,90,23,23,59,62,300,41,54,4,88,200,25,24,93,27,62,17,15,54,200,32,Donor Engagement,0,0,0,0,0,1,1,Outputs,815,41,83,35,26,31,54,9433,4615,9965,6612,3972,9663
GOV,,,et,5419,iaculis,6294,vitae nisl,1149,2017-02-16,2017-01-12,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,Keith Hudson,Target Population,1,1,0,1,1,1,1,1,0,1,Program Element,200,1,0,0,0,300,0,1,1,1,1,0,100,0,1,0,1,0,0,1,1,1,200,0,0,0,1,1,1,0,0,0,100,0,1,1,0,0,1,1,300,1,1,1,0,1,0,300,1,0,0,0,0,300,100,Geographic Focus Area,100,42,100,17,12,54,1,95,27,48,,,,17,,200,65,73,99,99,11,30,36,11,76,89,10,59,5,39,41,73,18,27,11,72,44,83,75,16,300,24,51,28,100,300,42,97,46,26,93,83,86,42,100,13,Donor Engagement,0,1,0,1,1,0,1,Outputs,680,46,19,63,18,13,21,7549,3638,3067,6446,2555,9211
GOV,,,morbi,6284,ligula pellentesque ultrices phasellus,3967,convallis,3983,2016-06-28,2017-01-18,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,Pamela Carr,Target Population,0,0,0,0,0,1,0,0,0,1,Program Element,300,1,1,1,1,300,1,0,0,0,0,1,100,1,1,1,1,1,1,0,0,1,300,1,0,1,1,0,1,1,1,1,300,1,1,1,1,0,0,0,300,1,1,1,0,1,0,300,1,1,1,1,1,200,300,Geographic Focus Area,100,60,200,55,44,65,1,27,53,100,,,,16,,100,96,38,60,48,93,94,65,82,93,36,21,6,96,6,66,29,54,23,83,49,7,79,57,80,300,39,72,72,90,100,63,19,56,70,6,12,68,17,100,22,Donor Engagement,0,0,0,0,1,0,1,Outputs,607,61,27,39,51,59,38,8000,3800,5997,5086,224,3087
GOV,,,curabitur,1218,dolor quis,9065,in purus eu magna,8870,2016-11-27,2016-04-03,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,Louis Gordon,Target Population,1,0,1,0,1,1,1,1,0,0,Program Element,200,1,0,0,1,200,1,1,1,0,1,1,100,0,0,1,0,1,1,1,0,1,300,0,0,0,0,1,0,1,1,0,200,1,0,0,0,1,1,0,300,1,0,1,1,1,1,300,1,0,0,1,0,100,200,Geographic Focus Area,100,56,100,62,24,19,2,77,21,55,,,,25,,200,72,33,28,83,19,29,91,7,8,48,95,93,40,60,63,23,5,49,35,41,78,83,97,75,300,95,72,25,67,200,1,64,14,30,29,61,7,91,200,17,Donor Engagement,1,0,1,0,0,1,1,Outputs,227,34,25,96,88,55,38,7051,7377,5860,2580,7543,5077
GOV,,,nam,7407,nonummy maecenas tincidunt lacus,5410,et magnis,1643,2017-01-03,2016-11-07,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,Bruce Warren,Target Population,0,0,1,0,0,0,1,1,1,1,Program Element,100,0,0,1,0,100,0,0,0,1,0,0,100,1,1,0,0,0,0,0,0,0,200,0,0,0,1,0,0,1,0,0,200,1,1,1,1,1,0,1,200,0,0,1,0,1,1,100,0,1,1,0,1,100,300,Geographic Focus Area,100,7,200,16,43,80,87,13,55,85,,,,62,,100,38,89,29,95,84,57,57,71,22,26,67,94,10,13,52,84,35,72,32,59,9,65,66,65,100,42,12,38,32,300,31,46,85,93,53,71,28,33,200,69,Donor Engagement,0,0,0,1,0,0,1,Outputs,549,57,18,95,14,93,89,2423,9276,6079,8659,4471,8856
GOV,,,odio,398,odio condimentum,7744,nec sem duis,7449,2016-08-03,2016-05-22,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,Heather Mills,Target Population,1,1,1,1,1,1,0,0,1,0,Program Element,100,1,0,1,0,100,1,1,1,0,0,0,200,1,1,0,0,0,0,1,1,1,300,1,0,1,1,1,1,0,0,0,200,0,0,0,1,0,0,1,200,1,0,0,1,1,1,100,1,0,0,1,1,100,300,Geographic Focus Area,300,41,200,31,89,95,10,27,57,28,,,,22,,300,87,58,72,18,68,11,40,30,37,80,18,95,14,44,17,79,24,69,63,48,78,60,90,66,300,44,28,35,92,100,100,46,43,20,30,15,90,4,300,24,Donor Engagement,0,0,1,1,1,0,1,Outputs,134,18,95,27,88,59,6,8710,898,6160,7114,6724,5913
UWLM,,,pede,2650,eu mi nulla ac,4298,ipsum integer a,7720,2016-08-29,2016-11-13,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,Emily Little,Target Population,1,1,0,1,1,1,0,0,0,1,Program Element,300,1,0,1,1,100,0,0,0,0,1,1,300,1,0,1,1,1,1,0,1,0,300,0,0,0,1,1,1,1,0,1,100,0,1,0,1,0,0,0,200,0,0,1,1,0,1,300,0,0,0,0,0,100,100,Geographic Focus Area,200,64,200,77,54,96,87,70,12,30,,,,50,,300,33,59,46,5,65,15,67,47,57,28,15,54,78,80,24,64,63,69,96,86,50,93,68,45,200,100,99,70,59,100,7,66,14,19,98,5,96,27,300,78,Donor Engagement,1,0,1,0,0,1,0,Outputs,568,90,88,35,88,90,68,1629,7548,4309,5977,9875,8819
GOV,,,praesent,4783,in faucibus orci luctus,7093,maecenas pulvinar,2568,2017-02-28,2016-07-12,pede libero quis orci nullam molestie nibh in lectus pellentesque,Chris Martin,Target Population,0,1,0,1,0,1,1,1,0,0,Program Element,200,1,1,1,0,300,0,1,1,1,1,1,300,0,1,1,0,1,0,1,0,1,300,0,1,0,1,0,1,1,1,0,200,1,1,0,0,0,1,1,300,1,0,1,1,1,0,300,1,1,0,0,1,300,300,Geographic Focus Area,200,56,100,82,25,48,84,11,59,34,,,,6,,200,43,75,68,71,56,4,40,98,83,50,48,51,85,26,21,67,46,83,47,47,23,77,1,60,300,76,89,85,26,100,53,55,20,90,63,99,14,32,300,29,Donor Engagement,1,1,1,0,1,0,1,Outputs,688,16,98,54,58,13,21,5110,9647,6505,16,799,4559
UWLM,,,orci,6490,primis in,2165,sit amet,3214,2016-07-13,2016-09-06,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,Patrick Johnston,Target Population,1,0,0,1,0,1,1,1,0,1,Program Element,300,0,0,0,0,100,0,0,0,1,1,0,100,1,0,0,1,1,0,1,1,1,300,1,0,1,0,1,1,0,0,0,200,1,0,1,1,0,1,1,300,1,0,1,0,0,0,100,0,1,0,1,0,100,100,Geographic Focus Area,100,67,200,68,78,20,71,66,32,55,,,,46,,300,89,18,79,87,55,24,45,44,46,45,85,40,81,17,17,18,53,35,44,29,46,21,67,15,300,65,86,77,51,300,16,10,2,48,17,17,48,93,200,12,Donor Engagement,0,0,0,0,0,1,1,Outputs,512,98,81,53,10,89,99,6864,835,9784,3834,2132,1869
GOV,,,elit,8612,cubilia,9400,vel dapibus at diam,2317,2016-03-20,2016-06-02,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in,Gloria Flores,Target Population,0,1,1,0,1,1,1,1,1,0,Program Element,100,1,0,0,0,100,1,0,0,1,0,1,300,0,0,1,1,1,0,0,1,0,200,0,0,0,0,1,0,1,0,0,200,0,0,1,0,0,0,0,300,1,0,0,1,1,1,200,0,0,0,0,1,300,200,Geographic Focus Area,100,21,200,54,69,15,80,88,64,92,,,,16,,100,93,98,75,14,17,20,74,34,99,99,17,97,26,12,99,83,4,4,87,80,69,49,97,17,100,43,12,98,57,200,26,30,22,27,71,89,22,3,300,24,Donor Engagement,1,0,1,1,0,0,1,Outputs,154,88,9,11,96,40,71,6246,8625,7853,2048,3809,4775
